회사명,공고명,"채용 형태(경력, 신입)",학력,직장 위치,키워드,마감 기한,공고 링크
세무법인 정성,홍대입구역 업무환경좋은 세무사사무실 경력2년이상 직원채용합니다.,경력2년↑,초대졸↑,서울 마포구,"4대보험, 회계법인, 부가세신고, 세무조정, 세무회계사무소",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43493109?Oem_Code=C1&logpath=1&stext=&listno=1243
㈜오토피크,[오토피크] 판금 반장님 채용,경력10년↑,학력무관,경기 고양시,"자동차정비, 판금, 중정비, 경정비, 자동차정비",~01/06(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43493050?Oem_Code=C1&logpath=1&stext=&listno=1244
컨셉에이,여성의류쇼핑몰 컨셉에이 CS 시간제 아르바이트 모집,경력1년↑,고졸↑,서울 동대문구,"게시판관리, 교환·반품, 배송상담, 전화상담, 쇼핑몰",~01/06(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43493023?Oem_Code=C1&logpath=1&stext=&listno=1245
한신기업㈜,한신기업(주) 생산직(산업기능요원 보충역) 모집,신입,학력무관,충북 영동군,"자동차부품, 금속",~01/06(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43492938?Oem_Code=C1&logpath=1&stext=&listno=1246
㈜베이비유,[청담점 / 부산점/대구점]스튜디오 고객관리 상담 경력/신입 매니저 모집,신입·경력2년↑,학력무관,서울 강남구 외,"고객관리, 스튜디오, 매출관리, 텔레마케팅, 회원관리",~01/04(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43486655?Oem_Code=C1&logpath=1&stext=&listno=1247
동화세상 에듀코,"I`m 채용해요. 학원강사(국,영,수)",경력무관,초대졸↑,울산 남구 외,"수학, 수학강사, 보습학원, 영어, 일반학원",~01/06(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43492613?Oem_Code=C1&logpath=1&stext=&listno=1248
㈜비엘케미칼,인조가죽원단 물류창고 관리 채용,신입·경력,고졸↑,경기 광주시 외,"상품입출고, 물류센터, 납품, 상품입출고, 재고관리",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43492350?Oem_Code=C1&logpath=1&stext=&listno=1249
아이푸드스쿨㈜,카다록디자이너,경력,학력무관,경기 광주시 외,"유통, 북디자인",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43491768?Oem_Code=C1&logpath=1&stext=&listno=1250
㈜바른컴퍼니,[바른손카드]BX브랜드 디자이너 경력직 채용,경력5년↑,초대졸↑,서울 서초구 외,"정보디자인, 디지털디자인, 상품기획, CI, 브랜드디자인",~12/30(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43488506?Oem_Code=C1&logpath=1&stext=&listno=1251
㈜바른컴퍼니,[바른손카드]UI/UX 프로덕트 디자이너 경력직 채용,경력7년↑,초대졸↑,서울 서초구 외,"정보디자인, UI·UX기획, 상품기획, GUI, 모바일디자인",~12/30(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43488465?Oem_Code=C1&logpath=1&stext=&listno=1252
이지샵,이지샵 주식회사 2023년 하반기 채용,신입·경력,학력무관,서울 중구,"고객관리, 관리회계, 네트워크관리, 부가세신고, ERP운용",~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43486831?Oem_Code=C1&logpath=1&stext=&listno=1253
쉥커코리아,[신입가능/외국계물류대기업] 삼성평택 반도체 Engineer 보조 및 자재 관리,경력무관,고졸↑,경기 평택시,"상품입출고, 창고관리, 입출고관리, 물류관리, 재고관리",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43487860?Oem_Code=C1&logpath=1&stext=&listno=1254
㈜제우인터내셔날,[디자이너브랜드 - 르메메/리드미컬 플래닛] 마케팅팀 담당자 채용,경력2년↑,대졸↑,서울 서초구 외,"여성의류, 패션, 시장분석, 데이터분석, 브랜드기획",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43487209?Oem_Code=C1&logpath=1&stext=&listno=1255
본푸드서비스㈜,서울특별시 중구 경력직 영양사(지점장) 채용 공고 - 본푸드서비스(주),경력5년↑,초대졸↑,서울 중구 외,"메뉴개발, 구내식당, 단체급식, 단체급식, 식단관리",~02/03(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43486913?Oem_Code=C1&logpath=1&stext=&listno=1256
한화호텔앤드리조트㈜,[한화호텔&리조트 The Plaza] 더플라자 식음팀 경조화환 담당자 모집,신입,학력무관,서울 중구,"행정, 식음, 화환, 납품영업, 경조",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43486311?Oem_Code=C1&logpath=1&stext=&listno=1257
엔픽스,[유아용품] 마케팅팀 / 영업지원팀 정규직 채용 (확장),경력무관,초대졸↑,경기 용인시 외,"유통, 시장분석, 데이터분석, 브랜드기획, 전략기획",~01/07(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43483271?Oem_Code=C1&logpath=1&stext=&listno=1258
크레신㈜,크레신 일반사무 채용공고,신입·경력,학력무관,서울 서초구,"전기, 전자, 문서관리, 문서작성, 서무",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43485988?Oem_Code=C1&logpath=1&stext=&listno=1259
㈜에코비트워터,(주)에코비트워터 사업소 인력 채용 (신입/경력),신입·경력,고졸↑,경기 성남시 외,"환경, 생산기술, 제품개발, 기계조작, 설비",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43483210?Oem_Code=C1&logpath=1&stext=&listno=1260
