기업명,평균 학점,평균 토익점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수
한진해운,3.72,871.0,1.2,2.3,1.5,1.5,1.0,2.0
전주페이퍼,3.72,868.0,1.1845697747114716,3.4,2.0,1.0,1.8282326588638764,1.8234853782673
무림페이퍼,3.67,792.0,1.0,2.5,1.4,1.0,1.2,2.4
엘지엔시스,3.65,850.0,1.0,1.8,1.0,1.0,1.0,1.4
극동건설,3.63,840.0,1.0,2.2,1.0,1.4638320773081666,1.0,1.0
코리아세븐,3.58,833.0,1.4,2.2,1.3,1.4,1.6,1.8
문화방송,3.59,795.0,1.2,2.1,1.2,1.3,1.9,2.0
코오롱글로텍,3.69,850.0,1.3,2.3,1.6,1.6,1.8,2.6
디지비생명보험,3.74,834.0,1.18799899183136,3.3,1.3,1.0,3.0,2.0
한일홀딩스,3.55,798.0,1.1554214291924192,1.9,1.3,1.4982037884749317,2.0,1.5
고려해운,3.59,812.0,1.8,2.4,1.3,1.3,1.3,1.5
