,회사명,총점,"직무, 지역"
3213,이노텍,40.0,"연구개발, 인천"
3214,이니텍,45.0,"개발, 서울"
3215,이니텍,40.0,"기획/경영, 서울"
3216,이더블유에스코리아,64.0,"생산/제조, 경남"
3217,이데미쯔전자재료한국,40.0,"개발, 경기"
3218,이데미쯔전자재료한국,20.0,"생산/제조, 경기"
3219,이데미쯔전자재료한국,20.0,"생산관리/품질관리, 경기"
3220,이데미쯔전자재료한국,20.0,"서비스/고객지원, 서울"
3221,이래오토모티브시스템,20.0,"생산/제조, 대구"
3222,이래오토모티브시스템,40.0,"생산관리/품질관리, 대구"
3223,이래오토모티브시스템,60.0,"연구개발, 대구"
3224,이레산업,60.0,"기획/경영, 경남"
3225,이레산업,80.0,"생산/제조, 경남"
3226,이레산업,80.0,"엔지니어링, 경남"
3227,이레산업,60.0,"연구개발, 경남"
3228,이레산업,80.0,"영업/제휴, 경남"
3229,이레텍,40.0,"기획/경영, 서울"
3230,이레텍,100.0,"마케팅/시장조사, 서울"
3231,이레텍,40.0,"영업/제휴, 서울"
3232,이레텍,20.0,"유통/무역, 서울"
3233,이마린아이씨티,20.0,"개발, 부산"
3234,이마린아이씨티,20.0,"개발, 울산"
3235,이마린아이씨티,60.0,"금융/재무, 서울"
3236,이마린아이씨티,60.0,"기획/경영, 서울"
3237,이마린아이씨티,60.0,"영업/제휴, 서울"
3238,이메디정보기술,32.0,"개발, 서울"
3239,이모션,60.0,"개발, 서울"
3240,이모션,80.0,"기획/경영, 서울"
3241,이모션,100.0,"미디어/홍보, 전북"
3242,이모션,100.0,"생산/제조, 대구"
3243,이모션웨이브,70.0,"개발, 경기"
3244,이모션웨이브,60.0,"개발, 서울"
3245,이모션웨이브,60.0,"기획/경영, 경기"
3246,이모션웨이브,40.0,"마케팅/시장조사, 경기"
3247,이베스트투자증권,60.0,"금융/재무, 서울"
3248,이베스트투자증권,40.0,"마케팅/시장조사, 서울"
3249,이브이시스,100.0,"금융/재무, 경기"
3250,이브이시스,30.0,"디자인, 서울"
3251,이브이시스,60.0,"생산/제조, 충북"
3252,이브이시스,60.0,"생산관리/품질관리, 충북"
3253,이비덴그라파이트코리아,60.0,"생산/제조, 경북"
3254,이비덴그라파이트코리아,60.0,"생산관리/품질관리, 경북"
3255,이비덴그라파이트코리아,20.0,"인사/총무, 경북"
3256,이성씨엔아이,60.0,"엔지니어링, 경북"
3257,이성씨엔아이,20.0,"엔지니어링, 부산"
3258,이수건설,80.0,"엔지니어링, 경기"
3259,이수건설,60.0,"엔지니어링, 기타"
3260,이수건설,60.0,"엔지니어링, 서울"
3261,이수건설,60.0,"영업/제휴, 서울"
3262,이수앱지스,80.0,"생산/제조, 경기"
3263,이수앱지스,80.0,"생산관리/품질관리, 경기"
3264,이수앱지스,60.0,"연구개발, 경기"
3265,이수화학,80.0,"기획/경영, 서울"
3266,이수화학,40.0,"생산/제조, 울산"
3267,이수화학,80.0,"생산관리/품질관리, 울산"
3268,이수화학,100.0,"전문직, 서울"
3269,이스턴마스텍,60.0,"기획/경영, 서울"
3270,이스턴마스텍,80.0,"디자인, 서울"
3271,이스턴마스텍,20.0,"생산/제조, 경기"
3272,이스턴마스텍,60.0,"생산관리/품질관리, 경기"
3273,이스턴마스텍,20.0,"엔지니어링, 서울"
3274,이스트만화이버코리아,52.0,"생산/제조, 울산"
3275,이스트스프링자산운용코리아,100.0,"개발, 부산"
3276,이스트스프링자산운용코리아,75.0,"금융/재무, 서울"
3277,이아이티서비스,20.0,"개발, 경기"
3278,이아이티서비스,20.0,"개발, 서울"
3279,이아이티서비스,20.0,"기획/경영, 경기"
3280,이아이티서비스,20.0,"서비스/고객지원, 서울"
3281,이앤디일렉트릭,80.0,"생산/제조, 인천"
3282,이앤디일렉트릭,73.333,"생산관리/품질관리, 인천"
3283,이앤디일렉트릭,100.0,"서비스/고객지원, 인천"
3284,이앤에스글로벌,70.0,"개발, 서울"
3285,이엔아이,70.0,"엔지니어링, 충남"
3286,이엔아이,33.333,"연구개발, 충남"
3287,이엔코퍼레이션,60.0,"기획/경영, 서울"
